score,model,date_function,date_mid,mean,lower,upper,y_sd,mean_std,lower_std,upper_std,score_label,main_model,main_model_pretty
score_xgb_logit,date_rw2_creator_source,rw2,376.5,1.029155617973876,0.6613181656145316,1.4667868948045497,3.257814569466618,0.3159036820632714,0.2029944158923708,0.4502364586836192,XGBoost Logit,date_rw2_creator_source,Source + RW2 date + creator
score_xgb_logit,date_rw2_creator_source,rw2,378,1.0485945070162113,0.6804991147705233,1.486235532841945,3.257814569466618,0.3218705315041584,0.20888208959110194,0.45620630061988987,XGBoost Logit,date_rw2_creator_source,Source + RW2 date + creator
score_xgb_logit,date_rw2_creator_source,rw2,379,1.0679547548535586,0.6996298961298946,1.5055000962962422,3.257814569466618,0.32781324169362047,0.21475436407187554,0.46211964008213285,XGBoost Logit,date_rw2_creator_source,Source + RW2 date + creator
score_xgb_logit,date_rw2_creator_source,rw2,379.5,1.0872389106636222,0.7187125983106316,1.5245845328394994,3.257814569466618,0.33373259511256625,0.22061188044484129,0.4679776888250304,XGBoost Logit,date_rw2_creator_source,Source + RW2 date + creator
score_xgb_logit,date_rw2_creator_source,rw2,380.5,1.1064505911089804,0.7377499811672383,1.543495308703197,3.257814569466618,0.3396297019109141,0.22645548585904496,0.4737824316857617,XGBoost Logit,date_rw2_creator_source,Source + RW2 date + creator
score_xgb_logit,date_rw2_creator_source,rw2,381,1.12559500921104,0.75674591023536,1.5622424703994753,3.257814569466618,0.34550616224769565,0.23228636685704837,0.47953695248384,XGBoost Logit,date_rw2_creator_source,Source + RW2 date + creator
score_xgb_logit,date_rw2_creator_source,rw2,381.5,1.1446769366798077,0.7757038071206527,1.580835446548463,3.257814569466618,0.35136344081953647,0.23810557371522034,0.4852441453742051,XGBoost Logit,date_rw2_creator_source,Source + RW2 date + creator
score_xgb_logit,date_rw2_creator_source,rw2,382.5,1.1636992408936633,0.7946255226164574,1.5992800206434032,3.257814569466618,0.35720241778039213,0.24391367454242693,0.4909057856246384,XGBoost Logit,date_rw2_creator_source,Source + RW2 date + creator
score_xgb_logit,date_rw2_creator_source,rw2,385,1.1826637374477849,0.8135119371004071,1.6175801691269303,3.257814569466618,0.36302365043490337,0.24971093957431667,0.4965230938210724,XGBoost Logit,date_rw2_creator_source,Source + RW2 date + creator
score_xgb_logit,date_rw2_creator_source,rw2,385.5,1.2015743979455566,0.8323655972252708,1.6357443006253871,3.257814569466618,0.3688283578835744,0.2554981505167585,0.5020986510270281,XGBoost Logit,date_rw2_creator_source,Source + RW2 date + creator
score_xgb_logit,date_rw2_creator_source,rw2,386.5,1.220432513563178,0.8511869266885771,1.6537754250623256,3.257814569466618,0.374616936458416,0.26127543742550596,0.507633381151306,XGBoost Logit,date_rw2_creator_source,Source + RW2 date + creator
