word1,word2,ppmi,cooc_n
exemplum,imperator,0.8056203805678784,55
diuinus,intellego,0.8055505064779223,74
coepio,iudico,0.8055505064779221,74
tellus,umbra,0.8055505064779221,74
metus,scelus,0.8055413260597539,91
arbor,luna,0.8055013652213701,68
agmen,spatium,0.8054089195716426,59
contineo,exercitus,0.8054089195716426,59
animal,humanus,0.8053258320388791,58
defendo,prouincia,0.8050230107515931,57
castra,subeo,0.8047339829667854,72
periculum,proximus,0.8047339829667854,72
acies,diuersus,0.8046566516698047,71
reliquus,sententia,0.8046359389449412,63
episcopus,gratia,0.8040478765933871,18
appello,respondeo,0.8038832810864728,75
coniunx,fatum,0.8038715253011568,70
agmen,altus,0.8037539750482883,63
agmen,uultus,0.8037539750482883,63
auxilium,socius,0.8036418511706179,76
castra,luna,0.8036222541140952,58
iuuenis,unda,0.8036017467622089,83
bonum,uoluptas,0.803479487150128,76
animal,ostendo,0.803122379072444,60
animal,semen,0.803122379072444,40
exercitus,princeps,0.8030037874662191,65
pugno,uoluptas,0.8029874822201538,64
iudico,nolo,0.8028441448801791,82
castra,furor,0.8026549801389525,62
graeci,species,0.8025058562415716,48
iniuria,sententia,0.8024841546172042,71
existimo,ratio,0.8023908753857575,67
