word1,word2,word3,interaction_info,abs_interaction_info
dies,manus,uis,0.19770634563145653,0.19770634563145653
unus,ago,totus,0.1976214235853814,0.1976214235853814
dies,primus,uis,0.19739824771369724,0.19739824771369724
homo,dies,ago,0.19732072846613966,0.19732072846613966
unus,dies,manus,0.19723904139969584,0.19723904139969584
nomen,ago,totus,0.19710686470379177,0.19710686470379177
uolo,locus,uenio,0.19707061788447489,0.19707061788447489
locus,tempus,nomen,0.19679918537635158,0.19679918537635158
dies,nomen,terra,0.19672074244227572,0.19672074244227572
deus,ago,manus,0.19671599766269404,0.19671599766269404
homo,locus,dies,0.1965962484162309,0.1965962484162309
dies,primus,bonus,0.19650343853297994,0.19650343853297994
magnus,tempus,primus,0.19646161289130623,0.19646161289130623
unus,nomen,uir,0.19642327700180542,0.19642327700180542
locus,nomen,uir,0.19637040300591252,0.19637040300591252
tempus,ago,uis,0.19630376380847314,0.19630376380847314
magnus,primus,uis,0.19616737135282863,0.19616737135282863
ago,totus,manus,0.1961089025966407,0.1961089025966407
unus,locus,credo,0.19601627519068823,0.19601627519068823
uolo,dies,bonus,0.1959449637836027,0.1959449637836027
locus,dies,uir,0.19591893751680017,0.19591893751680017
dies,uerbum,bonus,0.1959121671053305,0.1959121671053305
uolo,nomen,primus,0.19587990164743194,0.19587990164743194
homo,dies,primus,0.19584598670946715,0.19584598670946715
uolo,uenio,manus,0.19579213407511167,0.19579213407511167
unus,locus,uenio,0.19578481889086086,0.19578481889086086
homo,unus,dies,0.19570979377301181,0.19570979377301181
unus,pars,primus,0.19570714490738267,0.19570714490738267
tempus,uenio,totus,0.19570074858925848,0.19570074858925848
uolo,tempus,manus,0.1956831743563609,0.1956831743563609
uerbum,ago,bonus,0.1955876448390708,0.1955876448390708
tempus,nomen,ago,0.19557753515786053,0.19557753515786053
locus,pars,primus,0.19550884928290857,0.19550884928290857
unus,dies,uir,0.1953789007130702,0.1953789007130702
uolo,dies,nomen,0.1950917852505455,0.1950917852505455
locus,uenio,credo,0.19505571915381562,0.19505571915381562
dies,uenio,terra,0.19493759305824834,0.19493759305824834
homo,locus,nomen,0.19488474977560333,0.19488474977560333
uenio,manus,uis,0.19483413127511223,0.19483413127511223
unus,uir,primus,0.19482608753485572,0.19482608753485572
unus,dies,tempus,0.19479418321675523,0.19479418321675523
locus,pars,nomen,0.19476794048463852,0.19476794048463852
locus,primus,credo,0.1946248979777494,0.1946248979777494
uolo,dies,totus,0.19441992601133523,0.19441992601133523
uolo,nomen,totus,0.1941854460463261,0.1941854460463261
