word1,word2,ppmi,mi
inuenio,signum,0.5390870763407378,0.17095568658486027
duo,ratio,0.5390088330897088,0.19274313921929398
puto,scribo,0.5379065823686615,0.20145060902395073
ius,ratio,0.5378921383896339,0.18183979711396336
arma,regnum,0.5366174409576331,0.1439690847688535
inuenio,medius,0.5365103702340736,0.19336748635489354
gens,ius,0.5358030011395479,0.20250279300953355
rex,romanus,0.5357838899987075,0.12710219977837145
ius,malus,0.5351908186900646,0.230374112617187
gens,rex,0.5348278669813414,0.17140109411164595
fides,regnum,0.5346259406030126,0.20137904213628488
duo,inuenio,0.5343593691896186,0.20905426512308178
arma,signum,0.5331175346045294,0.15984683614579343
debeo,puto,0.5330617652128725,0.23694392470019654
gens,signum,0.5328565265901019,0.16760610021933608
inuenio,modus,0.5325266462507704,0.20438417212451387
rex,urbs,0.5324519418932305,0.229195556678075
duo,scio,0.53240814905835665,0.23575667500196396
arma,inuenio,0.5309092157093008,0.156112648593437
malus,ratio,0.5308909429306502,0.1687007154612994
loquor,malus,0.5303209549726559,0.26148710850128243
medius,signum,0.5302798204834376,0.18942587208655848
loquor,scio,0.5295073325647803,0.25728338071770906
audio,filius,0.5292995529261744,0.13288705243519683
inuenio,liber,0.5287883241401633,0.22861304929131254
malus,uerus,0.5277402158794524,0.25118508221499436
inuenio,loquor,0.5270042023466621,0.2233560155228984
ius,scio,0.5268371040089015,0.21770695237857574
rex,signum,0.5266645563421806,0.16431350377036757
relinquo,scio,0.5255134770783929,0.2584697705537522
audio,natura,0.5253567188384671,0.1596921275534271
audio,uerus,0.5249962935327094,0.23887106022588966
hostis,rex,0.5246646069563011,0.16065015874270028
bellum,rex,0.5244630143742254,0.16848711499885738
scio,scribo,0.5235637786639324,0.16417908002682324
romanus,scribo,0.5232623832006664,0.10646317084309143
debeo,duo,0.523119581440111,0.21900864145062116
medius,ratio,0.5226604437941347,0.16159600720840483
natura,uerus,0.5226051891023216,0.1935827346229564
malus,signum,0.5225577743895272,0.1818844224350311
gens,hostis,0.5225577743895272,0.15697147757425167
natura,signum,0.5225577743895271,0.14247378999365878
ius,rex,0.5220638252562437,0.19059182298625998
audio,modus,0.5216043692199168,0.21452527479347694
arma,uirtus,0.5211493066409604,0.1857382046144549
audio,domus,0.5210694668268474,0.23999161044149453
romanus,urbs,0.5208074358091505,0.1591274315634461
ius,signum,0.5206511961189456,0.18693830036308512
ius,lex,0.5204138543456795,0.2777388918153383
caelum,regnum,0.5200544302036122,0.1789744190689051
accipio,inuenio,0.5198357128680495,0.21480016511791877
inuenio,uox,0.5196391294865753,0.20354000260858562
debeo,malus,0.519525798527674,0.19698713951044855
inuenio,romanus,0.5189360276971516,0.11369993174023829
audio,rex,0.5183362481289048,0.17345336215902307
debeo,uerus,0.5181234142449473,0.23008466798940042
ius,summus,0.5176477808919713,0.2849070342742168
dominus,inuenio,0.5174887688862299,0.18866930787890102
audio,relinquo,0.5172107556071701,0.2412214511566022
bonus,malus,0.5171918116226375,0.2784565191678361
ius,urbs,0.517137706920188,0.24560836642087036
ius,scribo,0.5167018821148586,0.16656105787472963
debeo,signum,0.5166230388697127,0.1698426760746239
hostis,peto,0.516365804141606,0.21648748312411925
natura,rex,0.516365804141606,0.13967363663583932
domus,scio,0.5160843122326398,0.2390170768640738
audio,duo,0.516002113671247,0.2107630204156825
scio,uerbum,0.5149870640914055,0.2504037381131248
ius,modus,0.5148879871861725,0.22230573157026967
natura,uirtus,0.5142938779897107,0.1688674257249554
audio,loquor,0.5142435017564476,0.23115327693691246
fides,inuenio,0.5141895247190105,0.20020545221038866
natura,puto,0.5134537461722601,0.1747601933445928
scio,uerus,0.5132314519531229,0.22930769949122265
ius,loquor,0.5130294578625947,0.24630932468221278
nox,regnum,0.5128623903237985,0.16562561126430353
domus,inuenio,0.5126154648945624,0.206471275375943
debeo,romanus,0.5125297052787129,0.12326071001259642
bellum,inuenio,0.5123945143644868,0.15436266981184765
filius,ratio,0.5123843788424212,0.09699987550919875
hostis,inuenio,0.511981205823782,0.1467190003209442
credo,inuenio,0.5118099876057454,0.23932511047649285
domus,regnum,0.5107902086118427,0.18433176563449916
ius,quaero,0.5102720871342064,0.2521434171251382
domus,malus,0.5102533919218465,0.2341590944023464
accipio,duo,0.5101023915440587,0.2541021069427263
domus,romanus,0.5100546440328887,0.1542797476429536
inuenio,uirtus,0.5098841695010105,0.18111029510564602
filius,scribo,0.5098084035954472,0.09813993174053959
rex,scribo,0.5098084035954469,0.13658989787871345
arma,debeo,0.5095207362876462,0.15593972471118622
accipio,scio,0.509304625247261,0.23022920077922926
fides,ius,0.5091347540573864,0.23205979442856606
hostis,urbs,0.5087694572496714,0.19691586196776978
inuenio,teneo,0.5085856168226439,0.2419189023724595
malus,rex,0.5085836636995511,0.1708715855891203
fides,signum,0.5079589749683744,0.19576457078713183
inuenio,mitto,0.5072821189191996,0.20316447585285502
iubeo,regnum,0.507218131204819,0.19349920299790835
ius,natura,0.5069987617892373,0.15629966585213406
audio,teneo,0.5068532472739077,0.26473469634498326
modus,natura,0.5062617062924464,0.1617305214776561
bellum,gens,0.5061639646138507,0.15115277218982648
